Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score,cluster,pca1,pca2,pca3,decision,dbscan_cluster,dbscan_decision,copy_class,P_high_copy,P_low_copy,k_required
COMMENT PROGRAMMER EN C++,"DEITEL, HARVEY M.",1,22.0,3,13.666666666666666,2.309401076758503,3,3,1.0,1.0,0.1877113431716735,2,0.9760552662452286,0.3292051707127827,1.1087353213700404,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
COMPUTER NETWORKING : A TOP-DOWN APPROACH,"F.KUROSE, JAMES",3,5.0,1,15.0,0.0,1,6,0.1666666666666666,0.1666666666666666,0.0833333333333333,0,-1.0270505023073624,-0.8076368914899722,-0.9078850619905918,0,1,Cluster_1,High-copy,0.960960898748136,0.03903910125186397,6.000000000000003
COMPUTER ORGANIZATION AND ARCHITECTURE : DESIGNING FOR PERFORMANCE - GLOBAL EDITION,"STALLINGS,WILLIAM",0,4.0,1,15.0,0.0,1,1,1.0,1.0,3.75,2,0.7144614085377587,-0.8344922881061698,-0.6724927179748255,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
COMPUTER VISION : A MODERN APPROACH,"FORSYTH, DAVID.",0,23.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.072463768115942,0,-0.013237740152835655,0.5157978064494682,-0.3307332468051067,0,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
COMPUTER VISION ALGORITHMS AND APPLICATIONS : ALGORITHMS AND APPLICATIONS,"SZELISKI, RICHARD",0,4.0,2,15.5,0.7071067811865476,2,3,0.6666666666666666,0.6666666666666666,1.0088544203574474,0,0.02074581878200648,-1.0532733819204323,-0.4164029355291476,0,1,Cluster_1,High-copy,0.9956266963459666,0.004373303654033479,1.5
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,HITTA.AMARA,1,9.0,57,15.736842105263158,3.026822448598257,57,130,0.4384615384615384,0.4384615384615384,0.0834786858484068,1,-0.4405886350870288,-1.1196882417371459,0.87951182562121,1,1,Cluster_1,High-copy,0.99358021138678,0.006419788613219987,2.2807017543859653
COURS ÉLÉMENTAIRE DE TOPOGRAPHIE,B DUBUISSON,1,47.0,1,15.0,0.0,1,6,0.1666666666666666,0.1666666666666666,0.0088652482269503,4,0.5087426822745665,2.2588379791162123,0.31536112196863547,4,1,Cluster_1,High-copy,0.960960898748136,0.03903910125186397,6.000000000000003
"DATABASE SYSTEMS : DESIGN, IMPLEMENTATION, & MANAGEMENT","CORONEL, CARLOS",0,7.0,1,18.0,0.0,1,1,1.0,1.0,2.571428571428572,2,1.2831220388933298,-1.1249088717929356,-0.6609997810299517,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,KARIMA KHADIDJA MOKHTARI,1,12.0,4,15.5,0.9999999999999998,4,14,0.2857142857142857,0.2857142857142857,0.0527210884353741,0,-0.5239873741331089,-0.5380872916326112,-0.1491847762370715,0,1,Cluster_1,High-copy,0.9883322956027952,0.011667704397204735,3.5
"DE MES CAHIERS D’ANALYSE.. INTÉGRALE DE RIEMANN, CALCUL DE PRIMITIVES, INTÉGRALES IMPROPRES, COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,3,8.0,4,8.5,1.7320508075688772,4,124,0.032258064516129,0.032258064516129,0.0004046846946107,3,-2.343018961153744,0.22506557224998847,0.21867696431974643,3,1,Cluster_1,Low-copy,0.0001056923043910839,0.9998943076956089,31.000000000000036
"DE MES CAHIERS D’ANALYSE… FONCTIONS RÉELLES D’UNE VARIABLE RÉELLE : LIMITES, CONTINUITÉ ET.. COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,3,8.0,2,8.5,2.1213203435596424,2,124,0.0161290322580645,0.0161290322580645,8.855380296061544e-05,3,-2.409901234666533,0.16063767112200034,0.419747395982641,3,1,Cluster_1,Low-copy,2.3381084073063416e-11,0.9999999999766189,62.00000000000007
DE MES CAHIERS D’ANALYSE… ÉQUATIONS DIFFÉRENTIELLES ORDINAIRES DU PREMIER ET SECOND ORDRE : ASSISE THÉORIQUE ET APPLICATIONS COURS DÉTAILLÉ ET EXERCICES RÉSOLUS,HAZI MOHAMMED,3,8.0,2,11.0,5.656854249492381,2,124,0.0161290322580645,0.0161290322580645,5.373413609019521e-05,1,-2.3223223529654367,-0.8409559782956981,2.229230814526336,1,1,Cluster_1,Low-copy,2.3381084073063416e-11,0.9999999999766189,62.00000000000007
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,HAZI MOHAMMED,2,8.0,6,8.0,1.5491933384829668,6,124,0.0483870967741935,0.0483870967741935,0.0009184517701699,3,-2.369846444089812,0.34071238024515355,0.1395868130855749,3,1,Cluster_1,Low-copy,0.01717799031861407,0.9828220096813859,20.66666666666669
DEEP LEARNING WITH PYTHON,"CHOLLET, FRANC¸OIS",4,8.0,2,12.5,3.5355339059327378,2,3,0.6666666666666666,0.6666666666666666,0.1531119508413488,1,-0.5278602535631309,-0.7134189039896088,1.2741530866746624,1,1,Cluster_1,High-copy,0.9956266963459666,0.004373303654033479,1.5
DÉVELOPPER DES BASES DE DONNÉES WEB AVEC LA PLATEFORME .NET : ÉTAPE PAR ÉTAPE,"BUYENS, JIM",4,24.0,1,10.0,0.0,1,1,1.0,1.0,0.4166666666666667,2,0.6808563011486697,1.4748180124468824,0.03647511566421051,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
EFFECTIVE MODERN C++ : 42 SPECIFIC WAYS TO IMPROVE YOUR USE OF C++11 AND C++14,"MEYERS, SCOTT",2,12.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.1388888888888888,0,-0.41546928849572184,-0.2873265644235802,-0.6511072473658567,0,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
ELEMENTS D'ANALYSE NUMERIQUE,UNKNOWN_AUTHOR,2,16.26829268292683,1,15.0,0.0,1,50,0.02,0.02,0.0003688155922038,0,-0.9279502294773649,0.006952438543144736,-0.6262520979719118,0,1,Cluster_1,Low-copy,8.812124502678205e-09,0.9999999911878754,50.0
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,BOUSSEBOUA MOUSSEDEK,2,10.0,5,15.0,0.0,5,64,0.078125,0.078125,0.0091552734375,0,-1.0331388119525657,-0.4474844246940485,-0.7903654744291606,0,1,Cluster_1,Low-copy,0.4605640681373182,0.5394359318626818,12.8
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.2,BOUSSEBOUA MOUSSEDEK,3,10.0,3,9.666666666666666,4.618802153517007,3,74,0.0405405405405405,0.0405405405405405,0.0002827561586379,1,-2.3145044315721637,-0.29773334134076035,1.7791142700068696,1,1,Cluster_1,Low-copy,0.002413844180445568,0.9975861558195545,24.66666666666669
EXERCICES CORRIGÉS D'ALGÈBRE,MORTAD MOHAMMED HICHEM,1,11.0,6,15.333333333333334,0.816496580927726,6,10,0.6,0.6,0.2762560563488052,0,0.09984334786000143,-0.5354379413938585,-0.17153219264767758,0,1,Cluster_1,High-copy,0.9952529114362229,0.004747088563777225,1.6666666666666667
EXERCICES CORRIGÉS D'ANALYSE : 1ÈRE ANNÉE LMD,MORTAD MOHAMMED HICHAM*,1,17.0,2,12.5,3.5355339059327378,2,5,0.4,0.4,0.0259389657895932,1,-0.7677468068866378,-0.07108703714714744,1.4516317479411909,1,1,Cluster_1,High-copy,0.9928504026888757,0.0071495973111242225,2.5
EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,BALAC STÉPHANE,1,15.0,3,15.666666666666666,1.1547005383792517,3,4,0.75,0.75,0.2726596988934308,2,0.5889505403518629,-0.34689016454351734,0.16329070382040212,2,1,Cluster_1,High-copy,0.9959711686395158,0.004028831360484139,1.3333333333333333
