Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score
DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,KARIMA KHADIDJA MOKHTARI,1,12.0,4,15.5,0.9999999999999998,4,14,0.2857142857142857,0.2857142857142857,0.05272108843537415
"DE MES CAHIERS D’ANALYSE.. INTÉGRALE DE RIEMANN, CALCUL DE PRIMITIVES, INTÉGRALES IMPROPRES, COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,3,8.0,4,8.5,1.7320508075688772,4,124,0.03225806451612903,0.03225806451612903,0.00040468469461078674
"DE MES CAHIERS D’ANALYSE… FONCTIONS RÉELLES D’UNE VARIABLE RÉELLE : LIMITES, CONTINUITÉ ET.. COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,3,8.0,2,8.5,2.1213203435596424,2,124,0.016129032258064516,0.016129032258064516,8.855380296061544e-05
DE MES CAHIERS D’ANALYSE… ÉQUATIONS DIFFÉRENTIELLES ORDINAIRES DU PREMIER ET SECOND ORDRE : ASSISE THÉORIQUE ET APPLICATIONS COURS DÉTAILLÉ ET EXERCICES RÉSOLUS,HAZI MOHAMMED,3,8.0,2,11.0,5.656854249492381,2,124,0.016129032258064516,0.016129032258064516,5.373413609019521e-05
DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,HAZI MOHAMMED,2,8.0,6,8.0,1.5491933384829668,6,124,0.04838709677419355,0.04838709677419355,0.0009184517701699681
DEEP LEARNING WITH PYTHON,"CHOLLET, FRANC¸OIS",4,8.0,2,12.5,3.5355339059327378,2,3,0.6666666666666666,0.6666666666666666,0.15311195084134888
DÉVELOPPER DES BASES DE DONNÉES WEB AVEC LA PLATEFORME .NET : ÉTAPE PAR ÉTAPE,"BUYENS, JIM",4,24.0,1,10.0,0.0,1,1,1.0,1.0,0.4166666666666667
EFFECTIVE MODERN C++ : 42 SPECIFIC WAYS TO IMPROVE YOUR USE OF C++11 AND C++14,"MEYERS, SCOTT",2,12.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.13888888888888887
ELEMENTS D'ANALYSE NUMERIQUE,UNKNOWN_AUTHOR,2,16.26829268292683,1,15.0,0.0,1,50,0.02,0.02,0.00036881559220389805
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,BOUSSEBOUA MOUSSEDEK,2,10.0,5,15.0,0.0,5,64,0.078125,0.078125,0.0091552734375
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.2,BOUSSEBOUA MOUSSEDEK,3,10.0,3,9.666666666666666,4.618802153517007,3,74,0.04054054054054054,0.04054054054054054,0.0002827561586379727
EXERCICES CORRIGÉS D'ALGÈBRE,MORTAD MOHAMMED HICHEM,1,11.0,6,15.333333333333334,0.816496580927726,6,10,0.6,0.6,0.2762560563488052
EXERCICES CORRIGÉS D'ANALYSE : 1ÈRE ANNÉE LMD,MORTAD MOHAMMED HICHAM*,1,17.0,2,12.5,3.5355339059327378,2,5,0.4,0.4,0.02593896578959323
