N° inventaire,Date de réception,Titre,Auteur,Editeur,Date d'édition,Lieu d'édition,Edition,Mode d'acquisition,Statut,Fournisseur,N° achat,Prix,Cote,Localisation,Observation
62504,,Programmation mathématique : théorie et algorithmes,"Minoux, Michel",Lavoisier,2008.0,Paris,2e éd.,Passif,,,,,519.85 MIN,ENSIA,Titre remplacé
111442,,"Calcul des probabilités : cours, exercices et problèmes corrigés","Foata, Dominique",Dunod,2012.0,Paris,3e éd.,Passif,Prêt externe,,,,519.2/FOA,Transféré l'ENSIA,
1,2021-12-19,Calcul DIfferentiel et Integral Tome 01,"Piskounov,N",Office des Publications Universitaires,2006.0,algerie,,Achat,Prêt externe,opu,2021-11-01 00:00:00,889.91,515.33/PIS/1,ENSIA,
10,2021-11-01,Calcul Differentiel Et Integral Tome 2,"Piskounov,N",OPU,2016.0,Algerie,,Achat,Prêt externe,,,,515.33/PIS/4/2,ENSIA,
100,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/5,ENSIA,
1000,,Exercices corrigés d'analyse : 1ère année LMD,Mortad Mohammed Hicham*,Edition Houma,2009.0,Alger,,Don,Prêt externe,,,,515 MON,ENSIA,
1001,,Exercices corrigés de mathématiques tome 1 : rappels de cours et exercices corrigés,DUPONT PASCAL,,2008.0,PARIS,3 ed.,Achat,Prêt externe,,,,510.76.DUP/1,ENSIA,
1002,,Exercices corrigés de mathématiques tome 1 : rappels de cours et exercices corrigés,DUPONT PASCAL,,2008.0,PARIS,3 ed.,Achat,Prêt externe,,,,510.76.DUP/2,ENSIA,
1003,,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",,2008.0,PARIS,3 ed.,Passif,Prêt externe,,,,510.76. DUP/1,ENSIA,
1004,,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",,2008.0,PARIS,3 ed.,Passif,Prêt externe,,,,510.76 DUP/2,,
1005,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Passif,Prêt externe,,,,510.BAL/1,,
1006,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/2,,
1007,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/3,,
1008,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/4,,
1009,,Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées,BAYNAT BRUNO*,,2003.0,Paris,,Achat,Prêt externe,,,,518.107.BAY/1,ENSIA,
101,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/6,ENSIA,
1010,,Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées,BAYNAT BRUNO*,,2003.0,Paris,,Achat,Prêt externe,,,,518.107.BAY/2,ENSIA,
1011,,Extensions de corps théorie de galois : théorie de Galois : niveau M1-M2,Calais Josette,,2006.0,paris,,Achat,Prêt externe,,,,512.30.CAL/1,ENSIA,
1012,,Extensions de corps théorie de galois : théorie de Galois : niveau M1-M2,Calais Josette,,2006.0,paris,,Achat,Prêt externe,,,,512.30.CAL/2,ENSIA,
1013,,"8 ans de problèmes corrigés de mathématiques posés aux concours de Centrale-Supélec, Mines-Ponts, CCP",Franchini Jean,,2008.0,paris,,Achat,Prêt externe,,,,510.76.FRA/1,ENSIA,
1014,,"8 ans de problèmes corrigés de mathématiques posés aux concours de Centrale-Supélec, Mines-Ponts, CCP",Franchini Jean,,2008.0,paris,,Achat,Prêt externe,,,,510.76.FRA/2,ENSIA,
1015,,Intégrale de Riemann : théorie et pratique avec exercices corrigés,El Amrani Mohammed,,2009.0,paris,,Achat,Prêt externe,,,,515.43.ELA/1,,
1016,,Intégrale de Riemann : théorie et pratique avec exercices corrigés,El Amrani Mohammed,,2009.0,paris,,Achat,Prêt externe,,,,515.43.ELA/2,,
1017,,Intelligence artificielle,Edith Schomberg,,,,,Don,Prêt externe,,,,006.3.SCH/1,ENSIA,
1018,,Intelligence artificielle,Edith Schomberg,,,,,Don,Prêt externe,,,,006.3.SCH/2,,
1019,,Intelligence artificielle résolution des problèmes,Louis Lauriere Jean,,,,,Achat,Prêt externe,,,,006.3.LAU/1,ENSIA,
102,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/7,ENSIA,
1020,,Intelligence artificielle résolution des problèmes,Louis Lauriere Jean,,,,,Achat,Prêt externe,,,,006.3.LAU/2,ENSIA,
1021,,"Langages formels : calculabilité et complexité : cours et exercices corrigés : licence 3 & master, mathématiques & informatique, agrégation mathématiques","Carton, Olivier",,2014.0,Paris,,Achat,Prêt externe,,,,511.3. CAR/1,ENSIA,
1022,,"Langages formels : calculabilité et complexité : cours et exercices corrigés : licence 3 & master, mathématiques & informatique, agrégation mathématiques","Carton, Olivier",,2014.0,Paris,,Achat,Prêt externe,,,,511.3. CAR/2,ENSIA,
1023,,L'Intelligence artificielle : à travers Turbo Prolog,"Hudault, Bénédicte",Ellipses,1991.0,Paris,,Achat,Prêt externe,,,,006.3 HUD/2,ENSIA,
1025,,"Mathématiques : cours-problèmes-exercices-informatique, MatLab, Maple : BCPST-V?TO 2e année","Damin, Gilbert",,2011.0,Paris,,Achat,Prêt externe,,,,511.32.DAM/1,ENSIA,
1026,,"Mathématiques : cours-problèmes-exercices-informatique, MatLab, Maple : BCPST-V?TO 2e année","Damin, Gilbert",,2011.0,Paris,,Achat,Prêt externe,,,,511.32 DAM/2,ENSIA,
1027,,Mathématiques : méthodes et exercices : PCSI-PTSI,"Marie Monier, Jean",,20011.0,paris,,Passif,Prêt externe,,,,510 MON/1,,
1028,,Mathématiques : méthodes et exercices : PCSI-PTSI,"Marie Monier, Jean",,20011.0,paris,,Passif,Prêt externe,,,,510 MON/2,ENSIA,
1029,,Mathématiques : méthodes et exercices MP,"Monier, Jean-Marie",,2009.0,paris,,Achat,Prêt externe,,,,510.76 MON/1,,
103,,"Introduction a l'analyse mathématique. T. 3, Intégration, calculs des primitives, équations différentielles","Khelladi, Abdelkader",Office des Publications Universitaires,2009.0,Alger,,Achat,Prêt externe,,,,515 KHE/1,ENSIA,
1030,,Mathématiques : méthodes et exercices MP,"Monier, Jean-Marie",,2009.0,paris,,Achat,Prêt externe,,,,510.76.Mon/2,,
1031,,Mathématiques appliquées L3 : cours complet avec 500 tests et exercices corrigés,"Weil, Jacques-Arthur",,2009.0,Paris,,Achat,Prêt externe,,,,510 .YGE/1,ENSIA,
1032,,Mathématiques appliquées L3 : cours complet avec 500 tests et exercices corrigés,"Weil, Jacques-Arthur",,2009.0,Paris,,Achat,Prêt externe,,,,510.YGE/2,ENSIA,
1033,,"Mathématiques dans le contexte : prépas scientifiques, maths sup, PCSI","Casamayou-Boucau, Alexandre",,2008.0,Paris,,Achat,Prêt externe,,,,510.76. PAN/1,ENSIA,
1034,,"Mathématiques dans le contexte : prépas scientifiques, maths sup, PCSI","Casamayou-Boucau, Alexandre",,2008.0,Paris,,Achat,Prêt externe,,,,510.76. PAN/2,ENSIA,
1035,,"Mathématiques, ECS, 2e année","Rondy, Sylvain",,2011.0,paris,,Achat,Prêt externe,,,,510.76.RON/1,,
1036,,Mathématiques L1 : cours complet avec 1000 tests et exercices corrigés,"Marco, Jean-Pierre",,2010.0,Paris,,Achat,Prêt externe,,,,510 . .RON/1,ENSIA,
1037,,Mathématiques L2 : cours complet avec 700 tests et exercices corrigés,"Pierre Marco, Jean",,2007.0,Paris,,Achat,Prêt externe,,,,510 Mar/1,ENSIA,
1038,,Mathématiques L2 : cours complet avec 700 tests et exercices corrigés,"Pierre Marco, Jean",,2007.0,Paris,,Achat,Prêt externe,,,,510 Mar/2,ENSIA,
1039,,Mathématiques : les 120 exercices corrigés à l'oral du concours commun polytechniques : filière MP,"Smith, William",,2012.0,paris,,Achat,Prêt externe,,,,510.76. SMI/1,ENSIA,
104,,"Introduction a l'analyse mathématique. T. 3, Intégration, calculs des primitives, équations différentielles","Khelladi, Abdelkader",Office des Publications Universitaires,2009.0,Alger,,Achat,Prêt externe,,,,515 KHE/2,ENSIA,
1040,,Mathématiques : les 120 exercices corrigés à l'oral du concours commun polytechniques : filière MP,"Smith, William",,2012.0,paris,,Achat,Prêt externe,,,,510.76. SMI/2,ENSIA,
1041,,"Mathématiques MP-MP : cours complet avec tests, exercices et problèmes corrigés","Hochart, Max",,2010.0,Paris,,Achat,Prêt externe,,,,510.DEB/1,ENSIA,
1042,,"Mathématiques MP-MP : cours complet avec tests, exercices et problèmes corrigés","Hochart, Max",,2010.0,Paris,,Achat,Prêt externe,,,,510.DEB/2,ENSIA,
1043,,"Mathématiques PC-PC* : cours complets avec tests, exercices et problèmes corrigés","Héroult, François",,2010.0,paris,,Achat,Prêt externe,,,,510 .HER/1,ENSIA,
1044,,"Mathématiques PC-PC* : cours complets avec tests, exercices et problèmes corrigés","Héroult, François",,2010.0,paris,,Achat,Prêt externe,,,,510.HER/2,ENSIA,
1045,,Mathématiques PCSI,"Nguyen, Nicolas",,2009.0,Paris,,Achat,Prêt externe,,,,510.76.NGU/1,ENSIA,
1046,,Mathématiques PCSI,"Nguyen, Nicolas",,2009.0,Paris,,Achat,Prêt externe,,,,510.76.NGU/2,ENSIA,
1047,,"Mathématiques, EC 1re année : tout-en-un : cours et exercices","Warusfel, André",,2004.0,Paris,,Passif,Consultation sur place,,,,510.76 GAU,ENSIA,
1048,,"Mathématiques, EC 1re année : tout-en-un : cours et exercices","Warusfel, André",,2004.0,Paris,,Passif,Prêt externe,,,,510.76 GAU,ENSIA,
1049,,Mathématiques tout-en-un : MPSI-PCSI,Deschamps Claude,,2009.0,paris,2 ed.,Passif,Prêt externe,,,,510.76.DES/1,ENSIA,
105,,"Introduction a l'analyse mathématique. T. 3, Intégration, calculs des primitives, équations différentielles","Khelladi, Abdelkader",Office des Publications Universitaires,2009.0,Alger,,Achat,Prêt externe,,,,515 KHE/3,ENSIA,
1050,,Mathématiques tout-en-un : MPSI-PCSI,Deschamps Claude,,2009.0,paris,2 ed.,Passif,Prêt externe,,,,510.76.DES/2,ENSIA,
1051,,"Mathématiques : tout-en-un, pour la licence, niveau L2 : cours complet avec applications et 760 exercices corrigés","Warusfel, André",,2007.0,paris,,Achat,Prêt externe,,,,510.76.RAM/1,ENSIA,
1052,,"Mathématiques : tout-en-un, pour la licence, niveau L2 : cours complet avec applications et 760 exercices corrigés","Warusfel, André",,2007.0,paris,,Achat,Prêt externe,,,,510.76.RAM/2,ENSIA,
1053,,mathématiques : BTS industriels groupements B et C COURS EXERCICES CORRIGES ET BONUS WEB,"LUBRANO,LAURENT",,2011.0,paris,,Achat,Prêt externe,,,,510 LUB/1,ENSIA,
1054,,mathématiques : BTS industriels groupements B et C COURS EXERCICES CORRIGES ET BONUS WEB,"LUBRANO,LAURENT",,2011.0,paris,,Achat,Prêt externe,,,,510 LUB/2,ENSIA,
1055,,"Maths : première année : MPSI, PCSI, PTSI, BCPST",,,2010.0,Paris,,Achat,Prêt externe,,,,510.DES/1,ENSIA,
1056,,"Maths : première année : MPSI, PCSI, PTSI, BCPST",,,2010.0,Paris,,Achat,Prêt externe,,,,510.DES/2,ENSIA,
1057,,"Maths avec Maple. Tome 1, Présentation générale : utilisant les exercices 1990-1995 du concours général","Douillet, Pierre",,1995.0,Paris,,Achat,Prêt externe,,,,510.DOU/1,ENSIA,
1058,,"Maths avec Maple. Tome 1, Présentation générale : utilisant les exercices 1990-1995 du concours général","Douillet, Pierre",,1995.0,Paris,,Achat,Prêt externe,,,,510.DOU/2,ENSIA,
1059,,Maths avec Maple. Tome 2,"Douillet, Pierre",,1996.0,paris,,Achat,Prêt externe,,,,510.DOU/1,ENSIA,
106,,"Introduction a l'analyse mathématique. T. 3, Intégration, calculs des primitives, équations différentielles","Khelladi, Abdelkader",Office des Publications Universitaires,2009.0,Alger,,Achat,Prêt externe,,,,515 KHE/4,ENSIA,
1060,,Maths avec Maple. Tome 2,"Douillet, Pierre",,1996.0,paris,,Achat,Prêt externe,,,,510.DOU/2,ENSIA,
1061,,"Maths, MPSI","Mansuy, Roger",,2013.0,Paris,,Achat,Prêt externe,,,,510.76.MON/1,ENSIA,
1062,,"Maths, MPSI","Mansuy, Roger",,2013.0,Paris,,Achat,Prêt externe,,,,510.76.MON/2,ENSIA,
1063,,Maths PCSI-PTSI,Oudot Xavier,,2013.0,PARIS,,Passif,Prêt externe,,,,510.76.OUD/1,ENSIA,
1064,,Maths PCSI-PTSI,Oudot Xavier,,2013.0,PARIS,,Passif,Prêt externe,,,,510.76.OUD/2,ENSIA,
1065,,Maths PCSI-PTSI : 1re année,"Allano-Chevalier, Marie",,2008.0,Paris,,Don,Prêt externe,,,,510.76 ALL/2,ENSIA,
1066,,Maths PCSI-PTSI : 1re année,"Allano-Chevalier, Marie",,2008.0,Paris,,Don,Prêt externe,,,,510.76 ALL/2,ENSIA,
1067,,"Maths, MPSI","Mansuy, Roger",,2013.0,Paris,,Achat,Prêt externe,,,,510.76.MON/3,ENSIA,
1068,,"Maths, MPSI","Mansuy, Roger",,2013.0,Paris,,Achat,Prêt externe,,,,510.76.MON/4,ENSIA,
1069,,Mémo formulaire : calculs scientifiques fondamentaux,"Déplanche, Yves",,2015.0,Paris,,Achat,Prêt externe,,,,502.12.DEP/1,ENSIA,
107,2021-12-19,HISTOIRE DES SCIENCES - INTRODUCTION ET DECOUVERTE,Abdelkader Khelladi,OPU,2005.0,,,Achat,Consultation sur place,opu,2021-11-01 00:00:00,688.07,509 KHE/1,ENSIA,
1070,,Mémo formulaire : calculs scientifiques fondamentaux,"Déplanche, Yves",,2015.0,Paris,,Achat,Prêt externe,,,,502.12.DEP/2,ENSIA,
1071,,Mémo formulaire : calculs scientifiques fondamentaux,"Déplanche, Yves",,2015.0,Paris,,Achat,Prêt externe,,,,502.12.DEP/3,ENSIA,
1072,,Mathématiques MPSI,"Nguyen, Nicolas",,2009.0,paris,,Achat,Prêt externe,,,,510.76.NGU/1,ENSIA,
1073,,Mathématiques MPSI,"Nguyen, Nicolas",,2009.0,paris,,Achat,Prêt externe,,,,510.76.NGU/2,ENSIA,
1074,,"Algèbre : premiers pas en prépa : 1re année, prépa scientifique, mathématiques","Levine, Albert",,2002.0,paris,,Passif,Prêt externe,,,,512.007.LEV/2,,
1075,,"Algèbre : premiers pas en prépa : 1re année, prépa scientifique, mathématiques","Levine, Albert",,2002.0,paris,,Achat,Prêt externe,,,,512.007.LEV/2,ENSIA,
1076,,"problémes corrigés de mathematiquues : posés aux concours tome7 H.E.C, ESSEC, ESCP,ESCL ,ESCAE, ICN,ISG, eslsca, ISI, ESG","LEBOEUF, CHRISTIAN",,1988.0,paris,,Achat,Prêt externe,,,,510.76.LEB/1,ENSIA,
1077,,"problémes corrigés de mathematiquues : posés aux concours tome7 H.E.C, ESSEC, ESCP,ESCL ,ESCAE, ICN,ISG, eslsca, ISI, ESG","LEBOEUF, CHRISTIAN",,1988.0,paris,,Achat,Prêt externe,,,,510.76.LEB/2,ENSIA,
1078,,"Algèbre et analyse : exercices corrigés avec rappels de cours : L1, L2, L3, classes préparatoires","Monna, Gilbert",,2007.0,,,Don,Prêt externe,,,,515.076.MON/1,ENSIA,
1079,,"Algèbre et analyse : exercices corrigés avec rappels de cours : L1, L2, L3, classes préparatoires","Monna, Gilbert",,2007.0,,,Don,Prêt externe,,,,515.076.MON/2,ENSIA,
108,2021-12-19,HISTOIRE DES SCIENCES - INTRODUCTION ET DECOUVERTE,Abdelkader Khelladi,OPU,2005.0,,,Achat,Prêt externe,opu,2021-11-01 00:00:00,688.07,509 KHE/2,ENSIA,
1080,,Problèmes de mathématiques résolus avec Maple et Mathematica,"Durand, Robert",,1998.0,paris,,Achat,Prêt externe,,,,510.DUR/1,ENSIA,
1081,,Problèmes de mathématiques résolus avec Maple et Mathematica,"Durand, Robert",,1998.0,paris,,Achat,Prêt externe,,,,510.DUR/2,ENSIA,
1082,,"Statistique, exercices corrigés avec rappels de cours. 1, Sciences économiques","Labrousse, Christian",,1977.0,Paris,,Achat,Prêt externe,,,,519.5.LAB,ENSIA,
1083,2021-11-01,STATISTIQUES : cours et exercices corrigés : master mathématiques,DEPAUW JEROME,Vuibert,2012.0,PARIS,,Achat,Prêt externe,,,,519.50.DEP/1,ENSIA,
1084,2021-11-01,STATISTIQUES : cours et exercices corrigés : master mathématiques,DEPAUW JEROME,Vuibert,2012.0,PARIS,,Achat,Prêt externe,,,,519.50.DEP/2,ENSIA,
1085,,structures Algebriques : mathématiques,LANG SERGE,,,paris,,Achat,Prêt externe,,,,519.26.LAN/1,,
1086,,structures Algebriques : mathématiques,LANG SERGE,,,paris,,Achat,Prêt externe,,,,519.26.LAN/2,,
1087,,Théorie des graphes et applications : vec exercices et problèmes,"Fournier, Jean-Claude",,2006.0,paris,,Achat,Prêt externe,,,,511.5.fon/1,ENSIA,
1088,,Théorie des graphes et applications : vec exercices et problèmes,"Fournier, Jean-Claude",,2006.0,paris,,Achat,Prêt externe,,,,511.5.fon/2,ENSIA,
1089,,tous les exercices aalgebre et de geometrie pc-psi pour assimoler le programme sentrianer,laamri el-haj,Ediscience,2008.0,paris,,Achat,Consultation sur place,,,,512/LAA/1,ENSIA,
109,2021-12-19,HISTOIRE DES SCIENCES - INTRODUCTION ET DECOUVERTE,Abdelkader Khelladi,OPU,2005.0,,,Achat,Prêt externe,opu,2021-11-01 00:00:00,688.07,509 KHE/3,ENSIA,
1090,,tous les exercices aalgebre et de geometrie pc-psi pour assimoler le programme sentrianer,laamri el-haj,Ediscience,2008.0,paris,,Achat,Prêt externe,,,,512/LAA/2,ENSIA,
1091,,Toute l'algèbre de la licence : cours et exercices corrigés,"Escofier, Jean-Pierre",,2016.0,,4ed.,Achat,Prêt externe,,,,512.ESC/1,ENSIA,
1092,,Toute l'algèbre de la licence : cours et exercices corrigés,"Escofier, Jean-Pierre",,2016.0,,4ed.,Achat,Prêt externe,,,,512.ESC/2,ENSIA,
1093,,"Toutes les mathématiques, MP : 1re partie, le kit de survie, 2e partie, des cerises sur le gâteau","Verschueren, Luc",,2004.0,paris,,Achat,Prêt externe,,,,510.76.VER/1,ENSIA,
1094,,"Toutes les mathématiques, MP : 1re partie, le kit de survie, 2e partie, des cerises sur le gâteau","Verschueren, Luc",,2004.0,paris,,Achat,Prêt externe,,,,510.76.VER/2,ENSIA,
1095,,"Toutes les mathématiques, PSI-PSI* : [nouveau programme]","Guillaumie, Hervé",,2005.0,Paris,,Achat,Prêt externe,,,,510.GUI/1,ENSIA,
1096,,"Toutes les mathématiques, PSI-PSI* : [nouveau programme]","Guillaumie, Hervé",,2005.0,Paris,,Achat,Prêt externe,,,,510.GUI/2,ENSIA,
1097,,Algèbre 1 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,Vuibert,1998.0,paris,,Achat,Prêt externe,,,,512/AUZ/1,ENSIA,
1098,,Algèbre. 2 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,Vuibert,1998.0,paris,,Don,Prêt externe,,,,512/AUZ/1,ENSIA,
1099,,Algèbre. 2 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,Vuibert,1998.0,paris,,Don,Prêt externe,,,,512/AUZ/2,ENSIA,
11,2021-11-01,Statistique descriptive : avec initiation aux méthodes d'analyse de l'information économique,HAMDANI HOCINE,Office des Publications Universitaires,2010.0,ALGER,6E ED,Achat,Prêt externe,,,,519.53 HAM/1,ENSIA,
110,2021-12-19,HISTOIRE DES SCIENCES - INTRODUCTION ET DECOUVERTE,Abdelkader Khelladi,OPU,2005.0,,,Achat,Prêt externe,opu,2021-11-01 00:00:00,688.07,509 KHE/4,ENSIA,
1100,,Algèbre. 3 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,Vuibert,1998.0,paris,,Don,Prêt externe,,,,512/AUZ/1,ENSIA,
1101,,Algèbre. 3 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,Vuibert,1998.0,paris,,Don,Prêt externe,,,,512/AUZ/2,ENSIA,
1102,,EXERCICES ET PROBLEMES RESOLUS D'ANALYSE,"Chambadal, Lucien",,1978.0,Paris,,Achat,Prêt externe,,,,515.CHA/1,ENSIA,
1103,,EXERCICES ET PROBLEMES RESOLUS D'ANALYSE,"Chambadal, Lucien",,1978.0,Paris,,Achat,Prêt externe,,,,515.CHA/2,ENSIA,
1104,,"Formules de Taylor, développements limités : L1, L2, L3, classes préparatoires","Morvan, Jean-Marie",,2008.0,paris,,Achat,Prêt externe,,,,515.807 6 COL/4,,
1105,,"Formules de Taylor, développements limités : L1, L2, L3, classes préparatoires","Morvan, Jean-Marie",,2008.0,paris,,Don,Prêt externe,,,,515.807 6 COL/5,,
1106,,Formules et tables de mathématiques,"Spiegel, Murray R.",,1974.0,Paris,,Don,Prêt externe,,,,510 SPII/1,ENSIA,
1107,,Formules et tables de mathématiques,"Spiegel, Murray R.",,1974.0,Paris,,Don,Prêt externe,,,,510 SPI/2,ENSIA,
111,2021-12-19,La methodologie de travail,LAHOUEL Mesbah,OPU,2013.0,alger,,Achat,Consultation sur place,opu,2021-11-01 00:00:00,385.32,613/LAH/1,ENSIA,
1114,,recueil d'exercices d'algébre supérieure,D.FADDEEV,,,,,Don,Prêt externe,,,,512 FAD/2,ENSIA,
1115,,recueil d'exercices d'algébre supérieure,D.FADDEEV,,,,,Don,Prêt externe,,,,512 FAD/3,ENSIA,
1116,,"Algèbre. 1 : 1e année, classes préparatoires, 1er cycle universitaire","Tissier, Alain",,1989.0,,3 ed.,Achat,Prêt externe,,,,512.ATT,ENSIA,
1117,,??????? ????? ?????,"??? ????, ???????",,2002.0,?????,,Achat,Prêt externe,,,,512.???,ENSIA,
1118,,Intégration pour la licence : cours avec exercices corrigés,Gapaillard Jacques,Dunod,2002.0,France,,Achat,Prêt externe,,,,515.4.GAP/1,ENSIA,
1119,,Intégration pour la licence : cours avec exercices corrigés,Gapaillard Jacques,Dunod,2002.0,France,,Achat,Prêt externe,,,,515.4.GAP/2,ENSIA,
112,2021-12-19,La methodologie de travail,LAHOUEL Mesbah,OPU,2013.0,alger,,Achat,Prêt externe,opu,2021-11-01 00:00:00,385.32,613/LAH/2,ENSIA,
1120,,Intégration pour la licence : cours avec exercices corrigés,Gapaillard Jacques,Dunod,2002.0,France,,Achat,Prêt externe,,,,515.4.GAP/3,ENSIA,
1121,,Intégration pour la licence : cours avec exercices corrigés,Gapaillard Jacques,Dunod,2002.0,France,,Achat,Prêt externe,,,,515.4.GAP/4,ENSIA,
1122,,TABLES : DES CARR2S ET DES CUBES DES LONGUEURS DES CIRCONF2RENCES ET DES SURFACES DES CERCLES DES VALEURS NATURELLES DES EXPRESSIONS TRIGONOM2TRIQUES,CLAUDEL.J,,1968.0,paris,,Don,Prêt externe,,,,510 CLAU/1,ENSIA,
1123,,TABLES : DES CARR2S ET DES CUBES DES LONGUEURS DES CIRCONF2RENCES ET DES SURFACES DES CERCLES DES VALEURS NATURELLES DES EXPRESSIONS TRIGONOM2TRIQUES,CLAUDEL.J,,1968.0,paris,,Don,Prêt externe,,,,510 CLAU/2,ENSIA,
1124,,"L'oral mathématiques : niveau CCP, e3a, e4a, ESIM : MP","Monier, Jean-Marie",,2002.0,Paris,,Don,Prêt externe,,,,510.76MON/1,ENSIA,
1125,,"L'oral mathématiques : niveau CCP, e3a, e4a, ESIM : MP","Monier, Jean-Marie",,2002.0,Paris,,Don,Prêt externe,,,,510.76MON/2,ENSIA,
1126,,Logique mathématique : cours et exercices corrigés,"Lascar, Daniel",,2003.0,paris,,Don,Prêt externe,,,,511.307 6 COR/1,ENSIA,
1127,,Logique mathématique : cours et exercices corrigés,"Lascar, Daniel",,2003.0,paris,,Don,Prêt externe,,,,511.307 6 COR/2,ENSIA,
1128,,Exercices de mathématiques pour le premier cycle,"Dupont, Pascal",,2000.0,Bruxelles ; [Paris],,Achat,Prêt externe,,,,512.007.DUP,ENSIA,
1129,,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",,2008.0,PARIS,3 ed.,Achat,Prêt externe,,,,510.76. DUP/3,ENSIA,
113,2021-12-19,"Mathématiques 1 : Fonction d'une variable réelle: résumé de cours, exercices corrigés",Mehbali Mohamed,OPU,2013.0,ALGER,4 ed.,Achat,Prêt externe,opu,2021-11-01 00:00:00,807.34,515.8 MEH/1,ENSIA,
1130,,"Intégrales simples : formulaires commentés, 300 exercices et tests","Hirsch, Gérard",,1982.0,paris,,Achat,Prêt externe,,,,515.4.HIR,ENSIA,
1134,,"Best of mathématiques : les 14 meilleurs sujets de Centrale, CCP, e3a, e4a, ESIM : MP, PC, PSI","Rouget, Jean-Louis",,2002.0,Paris,,Achat,Prêt externe,,,,510.76 ROU/1,ENSIA,
1135,,Logique mathématique,"Pabion, Jean-François",,1976.0,Paris,,Achat,Prêt externe,,,,510 PAB/1,ENSIA,
1136,,Logique mathématique,"Pabion, Jean-François",,1976.0,Paris,,Achat,Prêt externe,,,,510 PAB/2,ENSIA,
1139,,recueil d'exercices d'algébre supérieure,D.FADDEEV,,,,,Don,Prêt externe,,,,512 FAD/1,ENSIA,
114,2021-12-19,"Mathématiques 1 : Fonction d'une variable réelle: résumé de cours, exercices corrigés",Mehbali Mohamed,OPU,2013.0,ALGER,4 ed.,Achat,Prêt externe,opu,2021-11-01 00:00:00,807.34,515.8 MEH/2,ENSIA,
1140,,Cours de mathématiques : MP-MP*,"Voedts, Jean",,2002.0,paris,,Achat,Prêt externe,,,,510 VOE/1,ENSIA,
1141,,"Topologie élémentaire : géométrie des fonctions de segments,de courbes ,de cercles et de disques",Cbinn.W.G,,1970.0,paris,,Achat,Prêt externe,,,,514.CBI/1,ENSIA,
1142,,"Topologie élémentaire : géométrie des fonctions de segments,de courbes ,de cercles et de disques",Cbinn.W.G,,1970.0,paris,,Achat,Prêt externe,,,,514.CBI/2,ENSIA,
1143,,exercices de topologie et d'analyse tome 4 : séries équations différentielles,FLORY.G,,1978.0,paris,,Don,Prêt externe,,,,515.3.FLO,ENSIA,
1144,,TOPOLOGIE ET D'analyse tome 1,FLORY.G,,1978.0,paris,2 ed.,Don,Prêt externe,,,,514.FLO,ENSIA,
1145,,Cours élémentaire de topographie,B Dubuisson,,1979.0,paris,,Achat,Prêt externe,,,,,ENSIA,
1146,,Cours élémentaire de topographie,B Dubuisson,,1979.0,paris,,Achat,Prêt externe,,,,,ENSIA,
1147,,Trigonométrie : cours et problèmes,"Ayres, Frank",,,,,Don,Prêt externe,,,,516 FRA,ENSIA,
1148,,Trigonométrie : cours et problèmes,"Ayres, Frank",,,,,Don,Prêt externe,,,,516 FRA,ENSIA,
