N° inventaire,Date de réception,Titre,Auteur,Editeur,Date d'édition,Lieu d'édition,Edition,Mode d'acquisition,Statut,Fournisseur,N° achat,Prix,Cote,Localisation,Observation
2902,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/11,ENSIA,
2903,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/12,ENSIA,
2904,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/13,ENSIA,
2905,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/14,ENSIA,
2906,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/15,ENSIA,
2907,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/16,ENSIA,
2908,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/17,ENSIA,
2909,,Statistique paramétrique : cours exercices Q.C.M tables index des formules,GRIM ZOULIKHA,Office des Publications Universitaires,2016.0,ALGER,2E ED,Achat,Prêt externe,,,,519/GRI/18,ENSIA,
291,2021-11-01,"Statistique : cours et exercices, pour les étudiants du tronc commun Bio-Médical",ADMANE O,Office des Publications Universitaires,2004.0,ALGER,13E ED,Achat,Prêt externe,,,,519.5.ADM/3,ENSIA,
2910,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/3,ENSIA,
2911,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/4,ENSIA,
2912,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/5,ENSIA,
2913,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/6,ENSIA,
2914,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/7,ENSIA,
2915,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/8,ENSIA,
2916,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/9,ENSIA,
2917,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/10,ENSIA,
2918,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/11,ENSIA,
2919,,INTRODUCTION A L'ALGEBRE LINEAIRE,BENALI BENZAGHOU,OPU,2015.0,Alger,,Achat,Prêt externe,,,,512 BEN/12,ENSIA,
292,2021-11-01,"Statistique : cours et exercices, pour les étudiants du tronc commun Bio-Médical",ADMANE O,Office des Publications Universitaires,2004.0,ALGER,13E ED,Achat,Prêt externe,,,,519.5.ADM/4,ENSIA,
2920,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/5,ENSIA,
2921,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/6,ENSIA,
2922,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/7,ENSIA,
2923,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/8,ENSIA,
2924,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/9,ENSIA,
2925,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/10,ENSIA,
2926,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/11,ENSIA,
2927,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/12,ENSIA,
2928,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/13,ENSIA,
2929,,De l'Algèbre de Boole aux circuits numériques : Cours et applications,Karima Khadidja Mokhtari,OPU,2014.0,Alger,,Achat,Prêt externe,,,,621.395 KAR/14,ENSIA,
293,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/1,ENSIA,
2930,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/3,ENSIA,
2931,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/4,ENSIA,
2932,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/5,ENSIA,
2933,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/6,ENSIA,
2934,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/7,ENSIA,
2935,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/8,ENSIA,
2936,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/9,ENSIA,
2937,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/10,ENSIA,
2938,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/11,ENSIA,
2939,,Réseaux informatiques : Recueil de sujets d'examens avec solutions,"Medjahed Gamaz, Dj",OPU,2018.0,ALGER,,Achat,Prêt externe,,,,004.65 MED/12,ENSIA,
294,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/2,ENSIA,
2940,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/11,ENSIA,
2941,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/12,ENSIA,
2942,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/13,ENSIA,
2943,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/14,ENSIA,
2944,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/15,ENSIA,
2945,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/16,ENSIA,
2946,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/17,ENSIA,
2947,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/18,ENSIA,
2948,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/19,ENSIA,
2949,,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,Hazi Mohammed,OPU,2018.0,Alger,,Achat,Prêt externe,,,,514 HAZ/20,ENSIA,
295,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/3,ENSIA,
2950,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/10,ENSIA,
2951,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/11,ENSIA,
2952,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/12,ENSIA,
2953,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/13,ENSIA,
2954,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/14,ENSIA,
2955,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/15,ENSIA,
2956,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/16,ENSIA,
2957,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/17,ENSIA,
2958,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/18,ENSIA,
2959,,Systeme D'exploitation Mecanismes De Base,BELKHIR ADBELKADER,Office des Publications Universitaires,2003.0,ALGER,5 ed.,Achat,Prêt externe,,,,005.43 BEL/19,ENSIA,
296,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/4,ENSIA,
2960,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/1,ENSIA,
2961,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/2,ENSIA,
2962,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/3,ENSIA,
2963,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/4,ENSIA,
2964,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/5,ENSIA,
2965,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/6,ENSIA,
2966,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/7,ENSIA,
2967,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/8,ENSIA,
2968,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/9,ENSIA,
2969,,INTRODUCTION AUX FONCTION SPECIALES ET A LA TRANSFORMATION DE LA PLAC,Fellah.Mohamed,OPU,2017.0,Alger,,Achat,Prêt externe,,,,515 FEL/10,ENSIA,
297,,Méthodes statistiques : rappels de cours et exercices corrigés,KHALED KHALDI,Office des Publications Universitaires,2017.0,ALGER,,Achat,Prêt externe,,,,510/KHA/5,ENSIA,
2970,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/5,ENSIA,
2971,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/6,ENSIA,
2972,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/7,ENSIA,
2973,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/8,ENSIA,
2974,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/9,ENSIA,
2975,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/10,ENSIA,
2976,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/11,ENSIA,
2977,,Algorithmique moderne analyse et complexité,zerkaoui Habiba Drias,OPU,2017.0,ALGER,,Achat,Prêt externe,,,,005.1 ZER/12,ENSIA,
