Title,Reader_num,category,borrowing_duration,borrowing date,return date
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3796300,3,22,2024-09-30,2024-10-22
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,3942847,2,22,2024-10-15,2024-11-06
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,5911829,2,15,2024-10-02,2024-10-17
ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,8343576,3,7,2023-10-17,2023-10-24
ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,11700359,3,7,2023-10-17,2023-10-24
ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,12225988,1,15,2024-10-13,2024-10-28
"ALGÈBRE ET GÉOMÉTRIE : 200 EXERCICES DÉVELOPPÉS, 980EXERCICES D'ENTRAONEMENT, RAPPELS DE COURS",5026541,1,15,2024-10-13,2024-10-28
ALGÈBRE : 240 EXERCICES CORRIGÉS AVEC RÉSUMÉS DE COURS : PREMIERS CYCLES DE L'ENSEIGNEMENT SUPÉRIEUR...,5094669,1,15,2024-10-02,2024-10-17
L'ALGEBRE DES STRUCTURES,3972157,2,11,2024-02-06,2024-02-17
LE DÉFI ALGÉBRIQUE TOME 1,5940111,1,15,2024-10-13,2024-10-28
EXERCICES D'ALGÈBRE. 1,5953476,1,15,2024-10-13,2024-10-28
INTRODUCTION À LA LOGIQUE : THÉORIE DE LA DÉMONSTRATION : COURS ET EXERCICES,9466948,2,15,2024-09-29,2024-10-14
EXERCICES EN LANGAGE C++,3900209,2,10,2023-12-20,2023-12-30
C-C++ LA BIBLE DU PROGRAMMEUR : 1500 ASTUCES POUR TOUTES LES SITUATIONS,4714580,1,15,2024-10-20,2024-11-04
ALGÉBRE : RAPPELS DE COURS QUESTIONS DE RÉFLEXION EXERCICE D'ENTRAINEMENT ANNALES CORRIGÉES,4804168,1,15,2024-10-16,2024-10-31
CALCUL DIFFÉRENTIEL DES FONCTIONS DE PLUSIEURS VARIABLES,5969581,1,15,2024-10-20,2024-11-04
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5817912,1,15,2024-10-01,2024-10-16
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5982073,1,30,2024-10-13,2024-11-12
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4693121,1,15,2024-09-30,2024-10-15
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,12225988,1,15,2024-10-13,2024-10-28
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4969770,1,30,2024-10-14,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5090872,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4803960,1,17,2024-10-24,2024-11-10
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5936210,1,17,2024-10-31,2024-11-17
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4846540,1,17,2024-10-31,2024-11-17
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4821230,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5855182,1,15,2024-10-20,2024-11-04
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5113394,1,15,2024-10-01,2024-10-16
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4658170,1,15,2024-10-21,2024-11-05
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4702666,1,15,2024-10-21,2024-11-05
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4822779,1,15,2024-10-20,2024-11-04
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4641390,1,15,2024-10-23,2024-11-07
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4797074,1,15,2024-10-06,2024-10-21
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5829062,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6243736,1,15,2024-10-21,2024-11-05
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5909883,1,17,2024-10-10,2024-10-27
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4884579,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4841255,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4778689,1,17,2024-10-17,2024-11-03
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4803633,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5846417,1,15,2024-10-22,2024-11-06
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5725044,1,15,2024-10-14,2024-10-29
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4724183,1,17,2024-10-17,2024-11-03
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6139597,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5879818,1,15,2024-10-22,2024-11-06
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,3801989,2,10,2024-05-16,2024-05-26
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6074927,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4681177,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5871699,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5355534,1,17,2024-10-17,2024-11-03
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6487960,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5729972,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5921079,1,15,2024-10-14,2024-10-29
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,9204067,1,17,2024-10-31,2024-11-17
